Province/State,Country/Region,Lat,Long,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20
,Egypt,26,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,12.0,0.0,0,0.17647058823529413,0.6666666666666666,0.25,7.0,1.8571428571428572,2.230769230769231,0.034482758620689655,40.0,1.15,0.0,0,0.48333333333333334,0.3103448275862069
From Diamond Princess,Australia,35.4437,139.638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.0,0,0,0,0,0.0,0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lebanon,33.8547,35.8623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,3.0,0.5,0.0,0,0,2.0,0.0,0,0.0,0,2.2222222222222223,0.0,0,1.0,1.0625,-0.6470588235294118,-1.9090909090909092,0.6190476190476191,1.8461538461538463,0.25,4.0
,Iraq,33,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.5,0.0,0,1.0,1.1666666666666667,0.8571428571428571,0.5,0.0,0,2.8,0.42857142857142855,0.0,0,0.0,0,0,0.3,0.6666666666666666,1.3333333333333333,3.75,0.3333333333333333,2.8,0.5714285714285714,0.375
,Oman,21,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0.5,0.3333333333333333,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,7.5,0.6,0.0,0
,Afghanistan,33,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2.0,0.0,0,0,1.25,1.0,0.2,0.0,0,0,0.0
,Bahrain,26.0275,50.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,0.45454545454545453,0.0,0,1.6666666666666667,1.2,0.3333333333333333,0.0,0,1.0,1.6666666666666667,5.0,0.0,0,1.5,5.666666666666667,0.0,0,-3.5,0.19047619047619047,0.0,0,2.0,0.7857142857142857,0.3181818181818182,2.857142857142857
,Kuwait,29.5,47.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,1.5,1.1333333333333333,0.11764705882352941,0.0,0,0,0.0,0,0,0.0,0,1.0,0.0,0,0.6,2.6666666666666665,0.0,0,0.3333333333333333,1.375,0.6363636363636364,1.7142857142857142,0.5,1.8333333333333333,1.5454545454545454
,Algeria,28.0339,1.6596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1.0,3.5,0.0,0,0.0,0,0.5,0.0,0,0,0.5,5.5,1.0,0.5454545454545454,1.0,2.3333333333333335,0.9285714285714286,0.23076923076923078,16.333333333333332
,Croatia,45.1,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0,0.5,1.0,0.0,0,0.5,0.0,0,1.0,0.0,0,0,2.5,0.0,0,0.46153846153846156,1.8333333333333333,0.7272727272727273,1.0,2.0,1.5,0.9583333333333334,3.391304347826087
